,num_peaks,signal_entropy,naming_orig,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__approximate_entropy__m_2__r_0.1,value__ar_coefficient__coeff_7__k_10,value__autocorrelation__lag_7,value__benford_correlation,value__count_below_mean,"value__fft_aggregated__aggtype_""variance""","value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_86","value__fft_coefficient__attr_""angle""__coeff_98","value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""real""__coeff_96",value__fourier_entropy__bins_10,value__fourier_entropy__bins_100,value__length,value__number_cwt_peaks__n_1,value__number_cwt_peaks__n_5,value__number_peaks__n_10,value__number_peaks__n_3,value__number_peaks__n_5,value__partial_autocorrelation__lag_7,value__range_count__max_1000000000000.0__min_0
481,162,5.873971649104088,mipt_alpha_432,0.0229919796594384,0.830356337315461,0.28442473444861155,0.3609181932252556,0.5713717683438391,309.0,8051.81529549291,38410293.90905952,22447346.873549975,-39.9202114843707,-110.5067724021909,-56.774723211546814,23129526.03250847,-8464194.625923054,0.6923367768439012,2.6818475015355143,573.0,48.0,59.0,28.0,76.0,54.0,0.28813671276034575,573.0
482,194,5.966715018552323,mipt_alpha_433,0.04395203423404433,0.9797924866257066,0.40498942810839555,0.518962367758252,0.7089363675637547,352.0,11189.332501603762,46813641.72420465,688411831.0687051,-132.09248084508795,-103.38765980593621,50.83727841446283,148409485.39483356,589797958.5261333,0.2607041092304531,1.839853529331423,671.0,47.0,64.0,29.0,91.0,61.0,0.3715834797414238,671.0
483,203,6.065083784508696,mipt_alpha_434,0.011895215912438733,0.9459091888415951,0.20356366552355934,0.25680357573724444,0.6231641750623318,366.0,11278.378287367177,61201622.360099465,283992842.1987029,-65.44905729330748,-16.88381464044447,36.34525339928259,52307909.68522577,249559993.72667655,0.607250526550666,2.6895124287780257,671.0,64.0,59.0,29.0,95.0,64.0,0.1824342226321051,671.0
484,214,6.022149851179593,mipt_alpha_435,0.006515400770044029,0.9707856705455633,0.16087782938876305,0.4607283696768528,0.950141890366108,335.0,11576.337726134721,2671250.4667099165,82028882.50771792,39.453493412591,-38.122600282399326,14.132564569779397,30805962.25735776,49645192.62102657,0.18121382170440362,1.6230681104438234,671.0,63.0,64.0,30.0,94.0,63.0,0.1758949766131578,671.0
485,190,5.982455967710143,mipt_alpha_436,0.03660222992632887,0.8721398722412337,0.2614407905854104,0.37206731071607174,0.6193339060188862,355.0,10978.67103257127,27362751.079937544,411027641.125707,57.59332073008264,-31.514306327682213,32.325954852061955,65279745.85928144,348161991.9642998,0.2607041092304532,2.1002849330984783,671.0,55.0,59.0,29.0,93.0,58.0,0.27881624543918615,671.0
486,200,6.070220159221027,mipt_alpha_437,0.03508357752744135,1.034613486982443,0.3110749317022735,0.45380222766311423,0.9060337376820679,365.0,11479.617688091377,81972212.2068318,451945733.18235946,7.1155279744790985,83.53968179632317,64.09980156009405,103883751.54160203,400208542.481699,0.2540933576978907,2.020106973085493,671.0,57.0,70.0,32.0,95.0,70.0,0.30865299948530367,671.0
487,182,5.9827718271458945,mipt_alpha_438,0.010239092764881327,0.9552899389304983,0.24574294070065283,0.4629520057737801,0.789773891868519,335.0,11108.606232721822,17530045.012562126,205984463.91726315,-98.51990468223265,-37.05973241501305,123.58876374839333,45311419.73327491,180001916.6093197,0.6528484404782282,2.63958526921199,671.0,51.0,57.0,22.0,96.0,61.0,0.2380720650411908,671.0
488,72,4.776802325165062,mipt_alpha_439,0.014099293810198999,0.4221877277918695,0.32317200074177355,0.32331777405537243,-0.05910206865498067,112.0,1404.4037096894253,30404859.699344262,13287274.17177751,179.34627394818267,-74.0685386283714,73.65036803199261,-3701727.2383785252,-8609692.769431567,0.8784669861978739,2.950735520764192,234.0,23.0,26.0,9.0,31.0,18.0,0.30947469355875684,234.0
489,166,5.908013368992963,mipt_alpha_44,0.027445566055694544,0.8699780464849303,0.3374673464215597,0.41129080018338443,0.7232978128788196,303.0,8028.903496056952,18856118.142005205,14673524.245729106,73.62112508214753,178.7617886824255,162.18505777634826,-29190341.475010682,-10378850.000000004,0.6117728874936025,2.613122222374681,576.0,47.0,52.0,21.0,77.0,52.0,0.33168045496431614,576.0
490,192,6.009279793891498,mipt_alpha_440,0.03399541140592027,0.8987940924403341,0.35056938016909733,0.45776331127133957,0.601584214697169,343.0,11288.4041296168,38527211.513598986,530907575.1122326,54.34080759646979,-4.638601275091077,-144.222329562402,6206155.435179079,429174878.06335306,0.32299406367009187,2.1156090613738017,671.0,63.0,67.0,27.0,96.0,66.0,0.36049204774899457,671.0
